YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2021,10,Brabant Wallon,A,5273.0
2021,10,Brabant Wallon,B,2979.0
2021,10,Brussels,A,11484.0
2021,10,Brussels,B,6535.0
2021,10,Hainaut,A,14206.0
2021,10,Hainaut,B,7648.0
2021,10,Limburg,A,11867.0
2021,10,Limburg,B,5852.0
2021,10,Limburg,C,31.0
2021,10,Liège,A,13676.0
2021,10,Liège,B,8803.0
2021,10,Luxembourg,A,2725.0
2021,10,Luxembourg,B,2018.0
2021,10,Namur,A,6632.0
2021,10,Namur,B,3926.0
2021,10,Oost-Vlaanderen,A,23254.0
2021,10,Oost-Vlaanderen,B,11789.0
2021,10,Oost-Vlaanderen,C,17.0
2021,10,Vlaams-Brabant,A,18693.0
2021,10,Vlaams-Brabant,B,9706.0
2021,10,Vlaams-Brabant,C,21.0
2021,10,West-Vlaanderen,A,20126.0
2021,10,West-Vlaanderen,B,11897.0
2021,11,Antwerpen,A,29458.0
2021,11,Antwerpen,B,14582.0
2021,11,Antwerpen,C,69.0
2021,11,Brabant Wallon,A,8595.0
2021,11,Brabant Wallon,B,3181.0
2021,11,Brussels,A,16780.0
2021,11,Brussels,B,7057.0
2021,11,Hainaut,A,22249.0
2021,11,Hainaut,B,7954.0
2021,11,Limburg,A,13721.0
2021,11,Limburg,B,6263.0
2021,11,Limburg,C,31.0
2021,11,Liège,A,21273.0
2021,11,Liège,B,9350.0
2021,11,Luxembourg,A,4566.0
2021,11,Luxembourg,B,2054.0
2021,11,Namur,A,9560.0
2021,11,Namur,B,4082.0
2021,11,Oost-Vlaanderen,A,27123.0
2021,11,Oost-Vlaanderen,B,12562.0
2021,11,Oost-Vlaanderen,C,17.0
2021,11,Vlaams-Brabant,A,21384.0
2021,11,Vlaams-Brabant,B,11017.0
2021,11,Vlaams-Brabant,C,21.0
2021,11,West-Vlaanderen,A,23496.0
2021,11,West-Vlaanderen,B,12721.0
2021,12,Antwerpen,A,39313.0
2021,12,Antwerpen,B,16178.0
2021,12,Antwerpen,C,69.0
2021,12,Brabant Wallon,A,17227.0
2021,12,Brabant Wallon,B,3631.0
2021,12,Brussels,A,25594.0
2021,12,Brussels,B,7690.0
2021,12,Hainaut,A,28740.0
2021,12,Hainaut,B,8636.0
2021,12,Limburg,A,18780.0
2021,12,Limburg,B,7169.0
2021,12,Limburg,C,31.0
2021,12,Liège,A,32346.0
2021,12,Liège,B,9979.0
2021,12,Luxembourg,A,7225.0
2021,12,Luxembourg,B,2167.0
2021,12,Namur,A,12432.0
2021,12,Namur,B,4337.0
2021,12,Oost-Vlaanderen,A,34653.0
2021,12,Oost-Vlaanderen,B,14293.0
2021,12,Oost-Vlaanderen,C,17.0
2021,12,Vlaams-Brabant,A,27805.0
2021,12,Vlaams-Brabant,B,12321.0
2021,12,Vlaams-Brabant,C,21.0
2021,12,West-Vlaanderen,A,37261.0
2021,12,West-Vlaanderen,B,14424.0
2021,13,Antwerpen,A,55145.0
2021,13,Antwerpen,B,18369.0
2021,13,Antwerpen,C,108.0
2021,13,Brabant Wallon,A,20818.0
2021,13,Brabant Wallon,B,3850.0
2021,13,Brussels,A,33023.0
2021,13,Brussels,B,8481.0
2021,13,Hainaut,A,34072.0
2021,13,Hainaut,B,10208.0
2021,13,Limburg,A,24881.0
2021,13,Limburg,B,8376.0
2021,13,Limburg,C,37.0
2021,13,Liège,A,41086.0
2021,13,Liège,B,10895.0
2021,13,Luxembourg,A,8920.0
2021,13,Luxembourg,B,2311.0
2021,13,Namur,A,17565.0
2021,13,Namur,B,4961.0
2021,13,Oost-Vlaanderen,A,44004.0
2021,13,Oost-Vlaanderen,B,16308.0
2021,13,Oost-Vlaanderen,C,22.0
2021,13,Vlaams-Brabant,A,34154.0
2021,13,Vlaams-Brabant,B,13974.0
2021,13,Vlaams-Brabant,C,23.0
2021,13,West-Vlaanderen,A,41757.0
2021,13,West-Vlaanderen,B,15699.0
2021,14,Antwerpen,A,94889.0
2021,14,Antwerpen,B,19280.0
2021,14,Antwerpen,C,136.0
2021,14,Brabant Wallon,A,25280.0
2021,14,Brabant Wallon,B,5626.0
2021,14,Brussels,A,47463.0
2021,14,Brussels,B,9464.0
2021,14,Hainaut,A,46550.0
2021,14,Hainaut,B,11477.0
2021,14,Limburg,A,48680.0
2021,14,Limburg,B,8647.0
2021,14,Limburg,C,68.0
2021,14,Liège,A,57100.0
2021,14,Liège,B,12549.0
2021,14,Luxembourg,A,12433.0
2021,14,Luxembourg,B,4116.0
2021,14,Namur,A,26940.0
2021,14,Namur,B,6291.0
2021,14,Namur,C,12.0
2021,14,Oost-Vlaanderen,A,81014.0
2021,14,Oost-Vlaanderen,B,16785.0
2021,14,Oost-Vlaanderen,C,24.0
2021,14,Vlaams-Brabant,A,62359.0
2021,14,Vlaams-Brabant,B,14502.0
2021,14,Vlaams-Brabant,C,23.0
2021,14,West-Vlaanderen,A,81340.0
2021,14,West-Vlaanderen,B,15933.0
2021,15,Antwerpen,A,107741.0
2021,15,Antwerpen,B,23362.0
